Namespace(exp_name='geoai', model='dgcnn', dataset='S3DIS', test_area='4', batch_size=16, test_batch_size=8, epochs=250, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='')
Using GPU : 0 from 1 devices
Train 0, loss: 0.188931, train acc: 0.920772, train avg acc: 0.879718, train iou: 0.794466
Test 0, loss: 0.276285, test acc: 0.885568, test avg acc: 0.901751, test iou: 0.792886
Train 1, loss: 0.143587, train acc: 0.941451, train avg acc: 0.912918, train iou: 0.843282
Test 1, loss: 0.194550, test acc: 0.917548, test avg acc: 0.909836, test iou: 0.840956
Train 2, loss: 0.134040, train acc: 0.945458, train avg acc: 0.918565, train iou: 0.852904
Test 2, loss: 0.204253, test acc: 0.914161, test avg acc: 0.925370, test iou: 0.839529
Train 3, loss: 0.122718, train acc: 0.950352, train avg acc: 0.925776, train iou: 0.864924
Test 3, loss: 0.172626, test acc: 0.930368, test avg acc: 0.936184, test iou: 0.866797
Train 4, loss: 0.115473, train acc: 0.953442, train avg acc: 0.930147, train iou: 0.872590
Test 4, loss: 0.184417, test acc: 0.926421, test avg acc: 0.934092, test iou: 0.860159
Train 5, loss: 0.112432, train acc: 0.954618, train avg acc: 0.932125, train iou: 0.875595
Test 5, loss: 0.167618, test acc: 0.930015, test avg acc: 0.936662, test iou: 0.866319
Train 6, loss: 0.110268, train acc: 0.955459, train avg acc: 0.933563, train iou: 0.877760
Test 6, loss: 0.179617, test acc: 0.924199, test avg acc: 0.928461, test iou: 0.855610
Train 7, loss: 0.109363, train acc: 0.955843, train avg acc: 0.934138, train iou: 0.878726
Test 7, loss: 0.150843, test acc: 0.938224, test avg acc: 0.939230, test iou: 0.879991
Train 8, loss: 0.107696, train acc: 0.956444, train avg acc: 0.935010, train iou: 0.880233
Test 8, loss: 0.148150, test acc: 0.938860, test avg acc: 0.942528, test iou: 0.881635
Train 9, loss: 0.105875, train acc: 0.957145, train avg acc: 0.936039, train iou: 0.882005
Test 9, loss: 0.174177, test acc: 0.929880, test avg acc: 0.936872, test iou: 0.866141
Train 10, loss: 0.106047, train acc: 0.957115, train avg acc: 0.936106, train iou: 0.881952
Test 10, loss: 0.153600, test acc: 0.937417, test avg acc: 0.940436, test iou: 0.878908
Train 11, loss: 0.104605, train acc: 0.957629, train avg acc: 0.936799, train iou: 0.883248
Test 11, loss: 0.159510, test acc: 0.936821, test avg acc: 0.940391, test iou: 0.877933
Train 12, loss: 0.104903, train acc: 0.957492, train avg acc: 0.936730, train iou: 0.882932
Test 12, loss: 0.149647, test acc: 0.939547, test avg acc: 0.942753, test iou: 0.882799
Train 13, loss: 0.103873, train acc: 0.957909, train avg acc: 0.937344, train iou: 0.883988
Test 13, loss: 0.153727, test acc: 0.936136, test avg acc: 0.940200, test iou: 0.876788
Train 14, loss: 0.102956, train acc: 0.958338, train avg acc: 0.937918, train iou: 0.885073
Test 14, loss: 0.164707, test acc: 0.931421, test avg acc: 0.939004, test iou: 0.868976
Train 15, loss: 0.102618, train acc: 0.958456, train avg acc: 0.938142, train iou: 0.885389
Test 15, loss: 0.206499, test acc: 0.921523, test avg acc: 0.930666, test iou: 0.851859
Train 16, loss: 0.101918, train acc: 0.958768, train avg acc: 0.938604, train iou: 0.886175
Test 16, loss: 0.169749, test acc: 0.930557, test avg acc: 0.938464, test iou: 0.867498
Train 17, loss: 0.101567, train acc: 0.958911, train avg acc: 0.938776, train iou: 0.886539
Test 17, loss: 0.156673, test acc: 0.936552, test avg acc: 0.940616, test iou: 0.877537
Train 18, loss: 0.101516, train acc: 0.958896, train avg acc: 0.938879, train iou: 0.886531
Test 18, loss: 0.143219, test acc: 0.940942, test avg acc: 0.942747, test iou: 0.885084
Train 19, loss: 0.101441, train acc: 0.958891, train avg acc: 0.938823, train iou: 0.886493
Test 19, loss: 0.160360, test acc: 0.934796, test avg acc: 0.940472, test iou: 0.874667
Train 20, loss: 0.101021, train acc: 0.959096, train avg acc: 0.939154, train iou: 0.887026
Test 20, loss: 0.146235, test acc: 0.939402, test avg acc: 0.943063, test iou: 0.882616
Train 21, loss: 0.100633, train acc: 0.959256, train avg acc: 0.939352, train iou: 0.887433
Test 21, loss: 0.153122, test acc: 0.940291, test avg acc: 0.942870, test iou: 0.884038
Train 22, loss: 0.100081, train acc: 0.959378, train avg acc: 0.939628, train iou: 0.887763
